LOR-Schlüssel (Bezirksregion);Bezeichnung (Bezirksregion);Straftaten-insgesamt;Raub;Straßenraub, Handtaschenraub;Körperverletzungen-insgesamt;Gefährl und schwere Körperverletzung;Freiheitsberaubung, Nötigung, Bedrohung, Nachstellung;Diebstahl-insgesamt;Diebstahl von Kraftwagen;Diebstahl an/aus Kfz;Fahrraddiebstahl;Wohnraumeinbruch;Branddelikte-insgesamt;Brandstiftung;Sachbeschädigung-insgesamt;Sachbeschädigung durch Graffiti;Rauschgiftdelikte;Kieztaten
045009;Halensee;3755;30;16;213;59;116;1954;66;454;224;62;16;10;264;52;88;964
045010;Lietzenburger Straße;12947;71;29;794;226;260;3983;59;924;447;62;22;8;683;177;300;1824
045011;Volkspark Wilmersdorf;5107;37;22;346;80;196;2274;58;566;424;62;32;12;436;90;177;1060
049900;Bezirk (Ch-Wi), nicht zuzuordnen;1197;18;17;113;31;65;559;23;170;77;0;11;4;101;13;27;260
051001;Hakenfelde;1902;9;6;191;35;88;864;29;233;56;39;15;8;166;9;47;474
051002;Falkenhagener Feld;3312;22;6;416;88;206;1249;19;285;100;81;20;10;319;13;81;1105
051003;Spandau Mitte;5627;73;41;631;162;276;1888;34;428;147;42;45;19;471;66;273;1366
052004;Brunsbütteler Damm;1638;13;8;175;34;101;601;39;130;36;33;9;4;164;9;28;415
052005;Heerstraße;2484;18;10;329;87;151;834;39;149;57;43;50;20;340;36;52;742
052006;Wilhelmstadt;4926;24;13;424;97;204;1796;32;285;146;40;30;13;465;64;83;1008
053007;Haselhorst;1791;13;9;178;46;87;733;27;228;57;26;16;9;174;13;31;417
053008;Siemensstadt;1618;20;12;118;28;73;728;20;144;67;14;12;9;144;39;28;317
054009;Gatow/Kladow;878;2;0;73;16;64;306;28;38;23;19;5;3;93;8;12;203
059900;Bezirk (Sp), nicht zuzuordnen;762;10;8;40;12;35;325;16;137;19;0;9;4;73;4;24;130
061001;Schloßstraße;3651;18;13;213;43;76;1537;19;103;194;30;8;4;218;51;54;553
061002;Albrechtstraße;3373;34;20;237;58;147;1370;68;301;195;91;12;7;305;34;58;951
062003;Lankwitz;2926;15;7;296;61;170;986;48;207;89;53;17;6;295;27;95;799
062004;Ostpreußendamm;2290;14;5;231;40;84;810;35;155;130;47;20;7;323;52;54;487
063005;Teltower Damm;2285;15;5;199;28;100;952;24;131;192;63;17;5;215;33;65;466
063006;Drakestraße;2907;9;6;280;61;146;1223;56;233;162;61;11;6;309;38;49;735
064007;Zehlendorf Südwest;2741;21;9;201;51;82;870;39;128;161;65;22;12;422;192;52;439
064008;Zehlendorf Nord;3098;23;10;182;43;103;1293;53;241;251;152;37;10;553;209;83;579
069900;Bezirk (St-Zd), nicht zuzuordnen;630;5;4;50;10;36;299;10;79;57;0;5;2;81;22;17;133
071001;Schöneberg Nordwest;4827;59;34;446;106;132;2427;22;335;342;38;11;3;359;76;223;1126
071002;Schöneberg Nordost;2785;27;16;202;49;76;1196;16;169;264;39;12;3;291;78;167;599
072003;Schöneberg Südwest;1814;15;8;141;42;55;828;25;157;147;29;7;3;173;40;60;450
072004;Schöneberg Südost;4634;26;10;342;81;132;1642;15;203;316;29;10;2;429;176;189;855
