a;b;c;d;gesamt;unter6;6-15;15-18;18-27;27-45;45-55;55-65;65undmehr;weiblich;Ausländer
07;30;05;15;6809;347;494;168;565;1663;945;1101;1526;3651;845
07;30;05;16;8808;421;636;254;898;2270;1240;1386;1703;4684;1441
07;30;05;17;9180;560;784;247;891;2156;1189;1331;2022;4942;1646
07;30;06;18;9307;519;663;231;902;2390;1206;1435;1961;4870;1593
07;30;06;19;12234;781;982;295;1295;3587;1580;1737;1977;6285;2847
07;40;07;20;11909;613;883;252;1097;3229;1564;1821;2450;6211;2398
07;40;07;21;5375;333;631;188;542;1147;713;823;998;2761;750
07;40;08;22;2288;118;185;51;161;507;302;378;586;1166;248
07;40;08;23;9702;595;656;188;933;2895;1138;1374;1923;5129;1843
07;40;08;24;7264;475;516;126;786;2233;872;876;1380;3708;1650
07;40;08;25;7361;476;514;141;803;2449;954;958;1066;3784;1808
07;40;08;26;5140;267;327;105;426;1197;596;804;1418;2725;695
07;40;09;27;11225;702;835;247;1328;3337;1299;1407;2070;5709;3030
07;40;09;28;3897;275;296;62;439;1506;483;446;390;1868;1418
07;50;10;29;8044;492;575;168;774;2352;945;1103;1635;4057;1749
07;50;10;30;8716;487;670;156;842;2441;1016;1143;1961;4476;1913
07;50;10;31;9025;479;520;179;701;2332;1051;1367;2396;4780;1483
07;50;10;32;5579;327;368;152;520;1305;719;831;1357;2883;884
07;50;11;33;8012;407;551;189;832;1930;940;1038;2125;4207;1934
07;50;11;34;10540;586;781;235;891;2043;1256;1479;3269;5550;1489
07;50;11;35;2225;102;167;56;193;411;312;334;650;1113;261
07;60;12;36;10226;669;1039;343;1080;2338;1207;1253;2297;5131;2526
07;60;12;37;4766;231;380;154;391;897;691;755;1267;2375;558
07;60;12;38;2868;152;290;65;266;529;313;352;901;1487;522
07;60;13;39;5706;367;497;135;474;1233;632;695;1673;3091;912
07;60;13;40;6384;377;557;185;578;1437;754;836;1660;3387;1148
07;60;13;41;2247;124;160;54;191;438;284;366;630;1125;372
07;60;14;42;10413;552;830;276;903;1965;1329;1618;2940;5416;1136
07;60;14;43;10926;648;984;269;827;2121;1482;1725;2870;5684;1050
07;60;15;44;8883;598;776;212;780;1937;1055;1155;2370;4598;1408
07;60;15;45;8341;505;906;307;873;1680;946;1130;1994;4290;1937
07;60;15;46;6907;373;528;205;592;1298;956;1205;1750;3533;607
07;60;15;47;3832;269;332;99;285;697;483;570;1097;2007;469
07;60;15;48;2893;152;266;69;220;452;414;457;863;1492;263
08;10;01;01;4709;241;290;82;452;1987;571;598;488;2222;1826
08;10;01;02;8237;423;509;149;784;3822;981;839;730;3995;2975
08;10;01;03;7350;420;438;108;599;3492;867;770;656;3504;2383
08;10;01;04;6592;367;455;149;657;2956;783;689;536;3051;2370
08;10;01;05;5690;341;445;186;768;2185;545;434;786;2857;2179
08;10;02;06;9570;464;622;220;921;4341;1088;967;947;4688;3677
08;10;02;07;7465;447;761;274;862;2342;941;782;1056;3724;2578
08;10;02;08;12172;712;888;253;1256;5360;1373;1212;1118;5923;4350
08;10;02;09;8476;405;605;226;1117;3267;1011;868;977;4024;3378
08;10;03;10;7771;409;577;183;618;3321;1165;827;671;3929;2439
08;10;03;11;7267;366;426;106;590;3216;1035;850;678;3620;2291
08;10;03;12;11824;701;754;186;975;5323;1525;1214;1146;5865;3967
08;10;03;13;3832;209;238;60;340;1240;521;569;655;1925;860
08;10;03;14;8070;373;586;196;862;3668;946;732;707;3868;3302
08;10;04;15;6498;395;446;113;614;2961;665;654;650;3202;2219
08;10;04;16;6480;397;485;133;611;2789;696;709;660;3160;2182
08;10;04;17;9805;580;660;227;1044;4435;1114;949;796;4657;3531
08;10;04;18;9508;537;590;181;886;4224;1126;908;1056;4783;2908
08;10;04;19;7153;530;685;190;710;2776;776;714;772;3534;2957
08;10;05;20;5836;542;739;198;738;1584;665;657;713;2857;2213
08;10;05;21;9547;641;1277;367;1122;2414;1240;1112;1374;4707;2876
08;20;06;22;5645;444;579;190;731;1962;655;560;524;2626;2546
08;20;06;23;6016;432;538;136;574;1601;727;841;1167;2962;1498
08;20;06;24;8762;500;656;163;921;2555;1018;1235;1714;4524;2159
08;20;07;25;2462;101;215;73;227;481;355;457;553;1206;312
08;20;07;26;6172;356;552;167;500;1459;829;906;1403;3178;833
08;20;07;27;7921;406;490;127;691;2036;913;1309;1949;4238;1118
08;20;07;28;1211;60;60;24;108;221;151;218;369;662;179
08;20;07;29;1854;112;205;61;150;392;290;284;360;913;256
08;20;07;30;3381;103;260;90;354;661;462;547;904;1620;593
08;20;08;31;8319;466;595;157;680;1786;1111;1363;2161;4268;1068
08;20;08;32;11614;656;964;305;1023;2300;1414;1732;3220;6083;1676
08;20;08;33;8652;493;843;257;919;2005;1084;1091;1960;4277;2089
08;30;09;34;12550;907;1076;350;1189;2804;1347;1553;3324;6644;2740
08;30;09;35;7336;381;454;129;595;1570;802;982;2423;3889;1382
08;30;10;36;7141;487;606;241;635;1596;768;897;1911;3779;1485
08;30;10;37;10798;802;997;309;1131;2636;1297;1437;2189;5562;2608
08;40;11;38;2897;188;269;84;218;532;320;351;935;1556;412
08;40;11;39;4106;198;228;74;372;856;512;636;1230;2114;646
08;40;11;40;2665;140;227;73;252;578;310;449;636;1360;415
08;40;12;41;8179;442;677;253;759;1513;1118;1246;2171;4106;1301
08;40;12;42;6808;352;593;181;547;1198;872;1196;1869;3451;742
08;40;12;43;10005;585;773;241;860;2013;1248;1607;2678;5077;1433
08;40;12;44;7145;401;657;192;549;1303;976;1108;1959;3688;598
08;40;12;45;3727;271;324;119;382;878;520;520;713;1974;408
08;40;12;46;7882;499;716;237;705;1556;1037;1209;1923;4162;915
09;10;01;01;13108;951;1166;294;926;5113;1921;1397;1340;6583;2597
09;10;02;02;4310;298;392;98;296;1420;592;509;705;2196;484
09;10;02;03;6901;288;297;82;650;2153;778;970;1683;3552;967
09;10;03;04;11766;650;709;163;908;3862;1195;1329;2950;6161;1373
09;10;03;05;4022;218;226;57;391;1586;447;428;669;2063;526
09;10;03;06;3101;197;300;116;246;562;423;578;679;1569;543
09;10;04;07;8446;447;543;158;562;1978;916;1198;2644;4493;690
09;10;04;08;8225;538;645;163;784;2640;926;1091;1438;4191;857
09;10;04;09;3861;237;350;161;422;819;674;610;588;1950;401
09;20;05;10;7562;543;562;145;1101;3033;767;708;703;3529;2004
09;20;05;11;12795;988;1050;267;1610;4502;1384;1387;1607;6423;2195
09;20;05;12;3766;231;250;62;576;1467;342;356;482;1787;811
